"CIP Code
Two-Digit
Series","2020 CIP
Code",CIP Code Title
1,1.0308,Agroecology and Sustainable Agriculture.
1,1.0901,"Animal Sciences, General."
1,1.0902,Agricultural Animal Breeding.
1,1.0903,Animal Health.
1,1.0904,Animal Nutrition.
1,1.0905,Dairy Science.
1,1.0906,Livestock Management.
1,1.0907,Poultry Science.
1,1.0999,"Animal Sciences, Other."
1,1.1001,Food Science.
1,1.1002,Food Technology and Processing.
1,1.1099,"Food Science and Technology, Other."
1,1.1101,"Plant Sciences, General."
1,1.1102,Agronomy and Crop Science.
1,1.1103,Horticultural Science.
1,1.1104,Agricultural and Horticultural Plant Breeding.
1,1.1105,Plant Protection and Integrated Pest Management.
1,1.1106,Range Science and Management.
1,1.1199,"Plant Sciences, Other."
1,1.1201,"Soil Science and Agronomy, General."
1,1.1202,Soil Chemistry and Physics.
1,1.1203,Soil Microbiology.
1,1.1299,"Soil Sciences, Other."
1,1.8105,Veterinary Anatomy.
1,1.8106,Veterinary Infectious Diseases.
1,1.8107,Veterinary Microbiology and Immunobiology.
1,1.8108,Veterinary Pathology and Pathobiology.
1,1.8109,Veterinary Physiology.
1,1.811,"Veterinary Preventive Medicine, Epidemiology, and Public Health."
1,1.8111,Veterinary Toxicology and Pharmacology.
3,3.0101,"Natural Resources/Conservation, General."
3,3.0103,Environmental Studies.
3,3.0104,Environmental Science.
3,3.0199,"Natural Resources Conservation and Research, Other."
3,3.0205,"Water, Wetlands, and Marine Resources Management."
3,3.021,Bioenergy.
3,3.0501,"Forestry, General."
3,3.0502,Forest Sciences and Biology.
3,3.0508,Urban Forestry.
3,3.0509,"Wood Science and Wood Products/Pulp and Paper
Technology/Technician."
3,3.051,Forest Resources Production and Management.
3,3.0601,"Wildlife, Fish and Wildlands Science and Management."
4,4.0601,Landscape Architecture.
4,4.0902,Architectural and Building Sciences/Technology.
9,9.0702,Digital Communication and Media/Multimedia.
10,10.0304,"Animation, Interactive Technology, Video Graphics, and Special
Effects."
11,11.0101,"Computer and Information Sciences, General."
11,11.0102,Artificial Intelligence.
11,11.0103,Information Technology.
11,11.0104,Informatics.
11,11.0105,Human-Centered Technology Design.
11,11.0199,"Computer and Information Sciences, Other."
11,11.0201,"Computer Programming/Programmer, General."
11,11.0202,"Computer Programming, Specific Applications."
11,11.0203,"Computer Programming, Vendor/Product Certification."
11,11.0299,"Computer Programming, Other."
11,11.0301,Data Processing and Data Processing Technology/ Technician.
11,11.0401,Information Science/Studies.
11,11.0501,Computer Systems Analysis/Analyst.
11,11.0701,Computer Science.
11,11.0801,"Web Page, Digital/Multimedia and Information Resources Design."
11,11.0802,Data Modeling/Warehousing and Database Administration.
11,11.0803,Computer Graphics.
11,11.0804,"Modeling, Virtual Environments and Simulation."
11,11.0899,"Computer Software and Media Applications, Other."
11,11.0901,Computer Systems Networking and Telecommunications.
11,11.0902,Cloud Computing.
11,11.1001,Network and System Administration/Administrator.
11,11.1002,"System, Networking, and LAN/WAN Management/Manager."
11,11.1003,"Computer and Information Systems Security/Auditing/Information
Assurance."
11,11.1004,Web/Multimedia Management and Webmaster.
11,11.1005,Information Technology Project Management.
11,11.1006,Computer Support Specialist.
11,11.1099,"Computer/Information Technology Services Administration and
Management, Other."
